Date,Portfolio Value,Cash
2024-01-26,60761.53,0.0
2024-01-29,61819.55,0.0
2024-01-30,61993.47,0.0
2024-01-31,61325.14,0.0
2024-02-01,62925.23,0.0
2024-02-02,63807.4,0.0
2024-02-05,63856.82,0.0
2024-02-06,63995.51,0.0
2024-02-07,64739.92,0.0
2024-02-08,65255.26,0.0
2024-02-09,65640.02,0.0
2024-02-12,65271.4,0.0
2024-02-13,64824.73,0.0
2024-02-14,66754.82,0.0
2024-02-15,67377.49,0.0
2024-02-16,66540.06,0.0
2024-02-20,65799.13,0.0
2024-02-21,65132.75,0.0
2024-02-22,68127.01,0.0
2024-02-23,67490.13,0.0
2024-02-26,68009.29,0.0
2024-02-27,68114.4,0.0
2024-02-28,67939.3,0.0
2024-02-29,68792.36,0.0
2024-03-01,69567.58,0.0
2024-03-04,70196.8,0.0
2024-03-05,69151.53,0.0
2024-03-06,69566.77,0.0
2024-03-07,70124.0,0.0
2024-03-08,69379.02,0.0
2024-03-11,68703.73,0.0
2024-03-12,70089.2,0.0
2024-03-13,70585.76,0.0
2024-03-14,70180.66,0.0
2024-03-15,69343.82,0.0
2024-03-18,69609.05,0.0
2024-03-19,70042.66,0.0
2024-03-20,71050.33,0.0
2024-03-21,72747.67,0.0
2024-03-22,72647.84,0.0
2024-03-25,72605.74,0.0
2024-03-26,72722.0,0.0
2024-03-27,72808.71,0.0
2024-03-28,72891.45,0.0
2024-04-01,72963.91,0.0
2024-04-02,72045.78,0.0
2024-04-03,72890.26,0.0
2024-04-04,71146.15,0.0
2024-04-05,72498.66,0.0
2024-04-08,72199.41,0.0
2024-04-09,71401.1,0.0
2024-04-10,70616.94,0.0
2024-04-11,71102.76,0.0
2024-04-12,69762.5,0.0
2024-04-15,68305.77,0.0
2024-04-16,68490.5,0.0
2024-04-17,68166.6,0.0
2024-04-18,67395.77,0.0
2024-04-19,65795.94,0.0
2024-04-22,66485.59,0.0
2024-04-23,68061.14,0.0
2024-04-24,68120.5,0.0
2024-04-25,68555.45,0.0
2024-04-26,69352.59,0.0
2024-04-29,69724.89,0.0
2024-04-30,68635.75,0.0
2024-05-01,67900.71,0.0
2024-05-02,68787.66,0.0
2024-05-03,69894.72,0.0
2024-05-06,71220.6,0.0
2024-05-07,69813.94,0.0
2024-05-08,70258.64,0.0
2024-05-09,71087.86,0.0
2024-05-10,70969.39,0.0
2024-05-13,70820.72,0.0
2024-05-14,71432.32,0.0
2024-05-15,73439.95,0.0
2024-05-16,71965.73,0.0
2024-05-17,71867.85,0.0
2024-05-20,72323.6,0.0
2024-05-21,72326.83,0.0
2024-05-22,71526.65,0.0
2024-05-23,70976.18,0.0
2024-05-24,71901.3,0.0
2024-05-28,71654.21,0.0
2024-05-29,70759.0,0.0
2024-05-30,69643.09,0.0
2024-05-31,69767.45,0.0
2024-06-03,66422.43,0.0
2024-06-04,65762.84,0.0
2024-06-05,66957.03,0.0
2024-06-06,66123.48,0.0
2024-06-07,66040.08,0.0
2024-06-10,66713.44,0.0
2024-06-11,66341.91,0.0
2024-06-12,67281.59,0.0
2024-06-13,67771.64,0.0
2024-06-14,66466.49,0.0
2024-06-17,67281.82,0.0
2024-06-18,68399.9,0.0
2024-06-20,67781.23,0.0
2024-06-21,67572.57,0.0
2024-06-24,67830.69,0.0
2024-06-25,67825.6,0.0
2024-06-26,67103.43,0.0
2024-06-27,67354.95,0.0
2024-06-28,67614.34,0.0
2024-07-01,67249.97,0.0
2024-07-02,67800.94,0.0
2024-07-03,68382.97,0.0
2024-07-05,67868.98,0.0
2024-07-08,68532.03,0.0
2024-07-09,68341.49,0.0
2024-07-10,69134.7,0.0
2024-07-11,69517.42,0.0
2024-07-12,69932.51,0.0
2024-07-15,69960.43,0.0
2024-07-16,70909.73,0.0
2024-07-17,68357.15,0.0
2024-07-18,67804.83,0.0
2024-07-19,67562.01,0.0
2024-07-22,68818.08,0.0
2024-07-23,69223.27,0.0
2024-07-24,66835.91,0.0
2024-07-25,66057.54,0.0
2024-07-26,66856.68,0.0
2024-07-29,66562.69,0.0
2024-07-30,65943.04,0.0
2024-07-31,67498.91,0.0
2024-08-01,65166.87,0.0
2024-08-02,62355.94,0.0
2024-08-05,61188.23,0.0
2024-08-06,62737.7,0.0
2024-08-07,61657.78,0.0
2024-08-08,63693.67,0.0
2024-08-09,63926.08,0.0
2024-08-12,63972.81,0.0
2024-08-13,64969.75,0.0
2024-08-14,65342.7,0.0
2024-08-15,66678.66,0.0
2024-08-16,66424.68,0.0
2024-08-19,67392.42,0.0
2024-08-20,66764.05,0.0
2024-08-21,67350.49,0.0
2024-08-22,66788.17,0.0
2024-08-23,68085.6,0.0
2024-08-26,67421.07,0.0
2024-08-27,67472.9,0.0
2024-08-28,66891.53,0.0
2024-08-29,67245.81,0.0
2024-08-30,68061.61,0.0
2024-09-03,65820.9,0.0
2024-09-04,65929.39,0.0
2024-09-05,65435.94,0.0
2024-09-06,64085.42,0.0
2024-09-09,65102.78,0.0
2024-09-10,65088.3,0.0
2024-09-11,66039.18,0.0
2024-09-12,66493.32,0.0
2024-09-13,67668.74,0.0
2024-09-16,68257.37,0.0
2024-09-17,68720.89,0.0
2024-09-18,68523.43,0.0
2024-09-19,69816.27,0.0
2024-09-20,70751.47,0.0
2024-09-23,71365.71,0.0
2024-09-24,71462.57,0.0
2024-09-25,71644.39,0.0
2024-09-26,71437.22,0.0
2024-09-27,71421.86,0.0
2024-09-30,71662.94,0.0
2024-10-01,71161.43,0.0
2024-10-02,71673.39,0.0
2024-10-03,71544.11,0.0
2024-10-04,72453.1,0.0
2024-10-07,72709.24,0.0
2024-10-08,72842.66,0.0
2024-10-09,73699.6,0.0
2024-10-10,73132.4,0.0
2024-10-11,74835.33,0.0
2024-10-14,75529.73,0.0
2024-10-15,75174.69,0.0
2024-10-16,76117.14,0.0
2024-10-17,75360.84,0.0
2024-10-18,75596.53,0.0
2024-10-21,75089.96,0.0
2024-10-22,74874.02,0.0
2024-10-23,74216.08,0.0
2024-10-24,74516.21,0.0
2024-10-25,73760.75,0.0
2024-10-28,74151.07,0.0
2024-10-29,74402.09,0.0
2024-10-30,72788.65,0.0
2024-10-31,71271.62,0.0
2024-11-01,70418.19,0.0
2024-11-04,70658.83,0.0
2024-11-05,72491.27,0.0
2024-11-06,74372.85,0.0
2024-11-07,74924.51,0.0
2024-11-08,75522.11,0.0
2024-11-11,75875.46,0.0
2024-11-12,74811.42,0.0
2024-11-13,74519.7,0.0
2024-11-14,73501.11,0.0
2024-11-15,73502.81,0.0
2024-11-18,73986.76,0.0
2024-11-19,76149.09,0.0
2024-11-20,76835.04,0.0
2024-11-21,78417.79,0.0
2024-11-22,79181.04,0.0
2024-11-25,80100.95,0.0
2024-11-26,80229.54,0.0
2024-11-27,79411.38,0.0
2024-11-29,79703.76,0.0
2024-12-02,80691.4,0.0
2024-12-03,80760.73,0.0
2024-12-04,81040.39,0.0
2024-12-05,80908.46,0.0
2024-12-06,81179.53,0.0
2024-12-09,79184.5,0.0
2024-12-10,77979.46,0.0
2024-12-11,78095.61,0.0
2024-12-12,77538.24,0.0
2024-12-13,77092.65,0.0
2024-12-16,76848.6,0.0
2024-12-17,75958.35,0.0
2024-12-18,73032.78,0.0
2024-12-19,72980.09,0.0
2024-12-20,74186.75,0.0
2024-12-23,74107.32,0.0
2024-12-24,75181.85,0.0
2024-12-26,75015.41,0.0
2024-12-27,73878.45,0.0
2024-12-30,73163.69,0.0
2024-12-31,72904.58,0.0
2025-01-02,73332.43,0.0
2025-01-03,74774.59,0.0
2025-01-06,75378.12,0.0
2025-01-07,74907.83,0.0
2025-01-08,75340.95,0.0
2025-01-10,74947.35,0.0
2025-01-13,74928.08,0.0
2025-01-14,76358.11,0.0
2025-01-15,77388.12,0.0
2025-01-16,78072.76,0.0
2025-01-17,78923.17,0.0
2025-01-21,80718.27,0.0
2025-01-22,80378.15,0.0
2025-01-23,80802.31,0.0
2025-01-24,80604.57,0.0
2025-01-27,76790.95,0.0
2025-01-28,77949.29,0.0
2025-01-29,78569.8,0.0
2025-01-30,79693.2,0.0
2025-01-31,78629.97,0.0
2025-02-03,78440.78,0.0
