Date,Ticker,Action,Price,Shares,Portfolio Value
2023-06-01,WYNN,BUY,93.54,3.906734,46297.42
2023-06-01,TKO,BUY,93.91,1.856431,46297.42
2023-06-01,SBUX,BUY,90.47,3.549893,46297.42
2023-06-01,GWW,BUY,638.65,0.17911,46297.42
2023-06-01,TT,BUY,161.17,1.522863,46297.42
2023-06-01,VRT,BUY,19.33,119.756113,46297.42
2023-06-01,UBER,BUY,38.48,60.157766,46297.42
2023-06-01,ULTA,BUY,403.83,1.358943,46297.42
2023-06-01,SYK,BUY,269.86,8.577938,46297.42
2023-06-01,TSCO,BUY,39.02,7.505934,46297.42
2023-06-01,ROST,BUY,97.57,23.724031,46297.42
2023-06-01,VRSN,BUY,219.94,10.524848,46297.42
2023-06-01,VRTX,BUY,323.62,0.398069,46297.42
2023-06-01,SJM,BUY,129.22,1.165598,46297.42
2023-06-01,TJX,BUY,73.67,0.33105,46297.42
2023-06-01,XYL,BUY,98.45,0.300942,46297.42
2023-06-01,STLD,BUY,88.04,2.930404,46297.42
2023-06-01,CRM,BUY,209.28,11.061152,46297.42
2023-07-03,VRTX,SELL,347.57,7.153052,51222.2
